id,sepal length,sepal width,petal length,petal width,class
51,6.4,3.2,4.5,1.5,Iris-versicolor
99,5.7,2.8,4.1,1.3,Iris-versicolor
7,5.0,3.4,1.5,0.2,Iris-setosa
22,4.6,3.6,1.0,0.2,Iris-setosa
77,6.7,3.0,5.0,1.7,Iris-versicolor
24,4.8,3.4,1.9,0.2,Iris-setosa
31,5.4,3.4,1.5,0.4,Iris-setosa
97,6.2,2.9,4.3,1.3,Iris-versicolor
44,5.1,3.8,1.9,0.4,Iris-setosa
76,6.8,2.8,4.8,1.4,Iris-versicolor
18,5.7,3.8,1.7,0.3,Iris-setosa
62,6.0,2.2,4.0,1.0,Iris-versicolor
34,4.9,3.1,1.5,0.1,Iris-setosa
11,4.8,3.4,1.6,0.2,Iris-setosa
64,5.6,2.9,3.6,1.3,Iris-versicolor
43,5.0,3.5,1.6,0.6,Iris-setosa
50,7.0,3.2,4.7,1.4,Iris-versicolor
53,5.5,2.3,4.0,1.3,Iris-versicolor
15,5.7,4.4,1.5,0.4,Iris-setosa
91,6.1,3.0,4.6,1.4,Iris-versicolor
6,4.6,3.4,1.4,0.3,Iris-setosa
67,5.8,2.7,4.1,1.0,Iris-versicolor
71,6.1,2.8,4.0,1.3,Iris-versicolor
80,5.5,2.4,3.8,1.1,Iris-versicolor
60,5.0,2.0,3.5,1.0,Iris-versicolor
93,5.0,2.3,3.3,1.0,Iris-versicolor
19,5.1,3.8,1.5,0.3,Iris-setosa
82,5.8,2.7,3.9,1.2,Iris-versicolor
73,6.1,2.8,4.7,1.2,Iris-versicolor
69,5.6,2.5,3.9,1.1,Iris-versicolor
4,5.0,3.6,1.4,0.2,Iris-setosa
33,5.5,4.2,1.4,0.2,Iris-setosa
75,6.6,3.0,4.4,1.4,Iris-versicolor
48,5.3,3.7,1.5,0.2,Iris-setosa
41,4.5,2.3,1.3,0.3,Iris-setosa
61,5.9,3.0,4.2,1.5,Iris-versicolor
52,6.9,3.1,4.9,1.5,Iris-versicolor
5,5.4,3.9,1.7,0.4,Iris-setosa
39,5.1,3.4,1.5,0.2,Iris-setosa
47,4.6,3.2,1.4,0.2,Iris-setosa
8,4.4,2.9,1.4,0.2,Iris-setosa
89,5.5,2.5,4.0,1.3,Iris-versicolor
20,5.4,3.4,1.7,0.2,Iris-setosa
95,5.7,3.0,4.2,1.2,Iris-versicolor
35,5.0,3.2,1.2,0.2,Iris-setosa
94,5.6,2.7,4.2,1.3,Iris-versicolor
92,5.8,2.6,4.0,1.2,Iris-versicolor
88,5.6,3.0,4.1,1.3,Iris-versicolor
21,5.1,3.7,1.5,0.4,Iris-setosa
83,6.0,2.7,5.1,1.6,Iris-versicolor
49,5.0,3.3,1.4,0.2,Iris-setosa
81,5.5,2.4,3.7,1.0,Iris-versicolor
55,5.7,2.8,4.5,1.3,Iris-versicolor
28,5.2,3.4,1.4,0.2,Iris-setosa
84,5.4,3.0,4.5,1.5,Iris-versicolor
0,5.1,3.5,1.4,0.2,Iris-setosa
25,5.0,3.0,1.6,0.2,Iris-setosa
96,5.7,2.9,4.2,1.3,Iris-versicolor
38,4.4,3.0,1.3,0.2,Iris-setosa
65,6.7,3.1,4.4,1.4,Iris-versicolor
29,4.7,3.2,1.6,0.2,Iris-setosa
37,4.9,3.1,1.5,0.1,Iris-setosa
36,5.5,3.5,1.3,0.2,Iris-setosa
98,5.1,2.5,3.0,1.1,Iris-versicolor
66,5.6,3.0,4.5,1.5,Iris-versicolor
63,6.1,2.9,4.7,1.4,Iris-versicolor
86,6.7,3.1,4.7,1.5,Iris-versicolor
1,4.9,3.0,1.4,0.2,Iris-setosa
14,5.8,4.0,1.2,0.2,Iris-setosa
57,4.9,2.4,3.3,1.0,Iris-versicolor
